"file","tag","label","category"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\1Visitors\Appointment.html","button","Register","btn-primary-action"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\1Visitors\Dashboard.html","a","Login","btn-primary-action"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\1Visitors\Dashboard.html","a","View Appointments","btn-secondary-action"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\1Visitors\Registration.html","button","Register","btn-primary-action"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\about.html","a","About Us","btn-secondary-action"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\about.html","a","Contact Us","btn-secondary-action"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\about.html","a","Doctors","btn-secondary-action"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\about.html","a","Gallery","btn-secondary-action"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\about.html","a","Home","btn-navigation"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\about.html","a","Login","btn-primary-action"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\about.html","a","Services","btn-secondary-action"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\about.html","button","","btn-utility"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Add_Doctor.php","a","â† Go Back","btn-navigation"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\Add_Doctor.php","button","Register","btn-primary-action"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\admin_add_medicine.php","a","Dashboard","btn-navigation"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\admin_add_medicine.php","a","Logout","btn-danger-action"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\admin_add_medicine.php","a","view Pharmacy","btn-secondary-action"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\admin_add_medicine.php","button","","btn-secondary-action"
